Channel ID,Created Date,Video ID,Published Time,Duration,Viewship,Title,Description
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,4mLPudWFXms,11 jam lalu,5:22,18211,"PN perlu berjaga-jaga, jangan confident sangat","PN perlu berjaga-jaga, jangan confident sangat"
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,_mm3NRzwIOY,1 hari lalu,8:08,15984,Lim Kit Siang lidah bercabang,Lim Kit Siang lidah bercabang
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,qvb6nrV35CI,2 hari lalu,8:03,21067,Sebab sebenar DAP benci PAS,Sebab sebenar DAP benci PAS
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,OpWIm-bwiug,3 hari lalu,8:13,16818,Malaysia ke arah negara dunia ketiga,Malaysia ke arah negara dunia ketiga
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,yb6CIF5wgy8,3 hari lalu,7:24,12594,Perkembangan PAS selama 40 tahun,Perkembangan PAS selama 40 tahun
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,lzLnrkMSgZI,3 hari lalu,4:14,19963,Religious bigotry: apa maksud Anwar Ibrahim?,Religious bigotry: apa maksud Anwar Ibrahim?
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,SRwxZHIgb6w,4 hari lalu,6:16,35957,"Konspirasi Mahathir, Daim dan Najib nak tumbangkan Anwar","Konspirasi Mahathir, Daim dan Najib nak tumbangkan Anwar"
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,tDa1-jEUJ1s,4 hari lalu,7:03,30587,Siapa yang sekat pengampunan Najib?,Siapa yang sekat pengampunan Najib?
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,U5br3n5y404,5 hari lalu,8:32,21817,Kekuatan Umno dan DAP merosot,Kekuatan Umno dan DAP merosot
UCYlcgg_HulaUWfXFhaOFaDw,2023-07-05 03:19:41,TbhVnYcqoLo,5 hari lalu,8:13,15554,"Malaysia adalah Tanah Melayu, kata Dr Mahathir","Malaysia adalah Tanah Melayu, kata Dr Mahathir"
